Crop,State,Land_Area,Yield_per_Acre,Predicted_Price,Cultivation_Cost,Production,Revenue,Profit,Loan_Amount,Interest_Rate,Tenure,EMI,Profit_Margin,Debt_to_Profit_Ratio,Risk
Wheat,Bihar,5.96,3.94,27957.72,127917.25,23.48,656447.27,528530.02,279048.0,10.39,6,47927.51,80.51,0.53,SAFE
Rice,Bihar,1.08,2.91,28951.71,126975.09,3.14,90908.37,-36066.72,48182.6,10.3,9,5586.0,-39.67,999.0,RISKY
Rice,Punjab,7.53,2.81,20049.2,192322.22,21.16,424241.07,231918.85,65093.66,11.13,6,11203.84,54.67,0.28,SAFE
Wheat,Punjab,6.69,3.7,29593.87,89884.75,24.75,732448.28,642563.53,124600.29,10.39,12,10976.96,87.73,0.19,SAFE
Rice,Bihar,8.87,3.69,18712.68,232959.04,32.73,612466.02,379506.98,31965.04,10.81,6,5496.73,61.96,0.08,SAFE
Wheat,Uttar Pradesh,5.85,3.94,24629.86,219895.61,23.05,567718.27,347822.66,44563.75,7.58,9,5109.23,61.27,0.13,SAFE
Wheat,Haryana,5.92,1.71,20284.53,217379.94,10.12,205279.44,-12100.5,79466.98,11.38,9,9253.61,-5.89,999.0,RISKY
Rice,Madhya Pradesh,1.94,3.49,19563.34,220977.4,6.77,132443.81,-88533.59,228919.33,8.87,6,39146.33,-66.85,999.0,RISKY
Wheat,Madhya Pradesh,9.51,3.4,22859.18,191350.05,32.33,739037.29,547687.24,246323.26,10.67,12,21732.56,74.11,0.45,SAFE
Wheat,Punjab,2.29,2.75,21733.79,105137.53,6.3,136922.88,31785.35,41575.35,7.61,6,7083.84,23.21,1.31,RISKY
Rice,Haryana,4.57,3.08,21549.68,235669.77,14.08,303419.49,67749.72,72651.09,9.76,6,12455.53,22.33,1.07,MODERATE
Wheat,Madhya Pradesh,4.92,1.52,20574.04,189481.43,7.48,153893.82,-35587.61,200839.24,11.19,9,23368.8,-23.12,999.0,RISKY
Wheat,Bihar,8.86,2.11,28762.57,97184.15,18.69,537572.43,440388.28,45412.33,7.95,9,5214.43,81.92,0.1,SAFE
Wheat,Madhya Pradesh,1.02,3.08,24785.04,186484.79,3.14,77825.03,-108659.76,280937.2,8.36,12,24485.07,-139.62,999.0,RISKY
Wheat,Punjab,2.63,2.68,23307.26,228570.9,7.05,164316.18,-64254.72,45987.3,9.36,12,4029.34,-39.1,999.0,RISKY
Wheat,Madhya Pradesh,2.67,2.21,28636.06,131184.11,5.9,168952.75,37768.64,119919.42,8.6,12,10464.9,22.35,3.18,RISKY
Rice,Haryana,7.96,2.56,26125.01,87232.14,20.38,532427.7,445195.56,31992.65,10.06,6,5489.65,83.62,0.07,SAFE
Rice,Bihar,5.48,1.78,19937.11,139576.78,9.75,194386.82,54810.04,131948.72,10.97,6,22700.42,28.2,2.41,MODERATE
Rice,Haryana,8.48,2.1,18489.84,218743.41,17.81,329304.05,110560.64,146196.46,11.21,9,17012.19,33.57,1.32,MODERATE
Wheat,Bihar,9.17,2.2,18163.82,124100.49,20.17,366364.25,242263.76,187280.41,10.58,12,16515.49,66.13,0.77,SAFE
Rice,Haryana,1.35,2.04,27207.46,220316.0,2.75,74820.51,-145495.49,116042.82,9.08,6,19855.89,-194.46,999.0,RISKY
Rice,Uttar Pradesh,5.87,1.61,27037.71,102643.14,9.45,255506.36,152863.22,126448.56,11.24,6,21771.03,59.83,0.83,SAFE
Rice,Uttar Pradesh,7.86,1.57,28221.91,198571.3,12.34,348258.37,149687.07,277280.55,9.92,12,24367.05,42.98,1.85,SAFE
Rice,Uttar Pradesh,8.62,3.81,27059.1,93653.82,32.84,888620.84,794967.02,107280.38,7.7,6,18283.76,89.46,0.13,SAFE
Rice,Haryana,8.41,2.51,28487.37,223645.32,21.11,601368.38,377723.06,283343.71,11.15,6,48771.55,62.81,0.75,SAFE
Wheat,Punjab,5.74,2.21,29580.19,90889.6,12.69,375372.61,284483.01,112779.15,7.78,6,19225.35,75.79,0.4,SAFE
Wheat,Bihar,2.2,2.5,24548.81,242265.52,5.5,135018.46,-107247.06,263737.26,7.08,9,30175.39,-79.43,999.0,RISKY
Wheat,Punjab,4.16,2.5,21680.14,118177.35,10.4,225473.46,107296.11,241570.66,9.77,9,27945.66,47.59,2.25,MODERATE
Rice,Bihar,3.17,1.58,25196.51,58654.57,5.01,126234.52,67579.95,293657.22,8.6,6,50177.83,53.54,4.35,RISKY
Rice,Madhya Pradesh,7.35,2.34,24971.24,145487.87,17.2,429505.33,284017.46,96568.9,11.68,9,11258.81,66.13,0.34,SAFE
Wheat,Bihar,6.36,3.73,23936.63,76261.74,23.72,567776.86,491515.12,102143.48,8.04,6,17425.35,86.57,0.21,SAFE
Rice,Punjab,8.17,3.99,19436.1,65865.8,32.6,633616.86,567751.06,259766.66,7.35,12,22518.7,89.6,0.46,SAFE
Rice,Uttar Pradesh,8.67,1.63,23240.14,248890.43,14.13,328383.18,79492.75,295188.9,11.66,6,50884.78,24.21,3.71,MODERATE
Wheat,Punjab,3.99,3.31,21423.4,130428.03,13.21,283003.11,152575.08,61003.21,9.51,9,7049.54,53.91,0.4,SAFE
Wheat,Bihar,3.58,3.9,26076.95,98214.34,13.96,364034.22,265819.88,175064.62,11.48,9,20393.87,73.02,0.66,SAFE
Rice,Punjab,3.66,2.64,22630.97,126702.68,9.66,218615.17,91912.49,196190.96,10.77,9,22788.88,42.04,2.13,MODERATE
Rice,Punjab,2.12,2.73,24118.09,111126.9,5.79,139643.74,28516.84,273032.52,7.22,9,31256.88,20.42,9.57,RISKY
Rice,Bihar,9.34,2.66,21119.71,104347.9,24.84,524613.6,420265.7,97786.15,7.9,9,11225.9,80.11,0.23,SAFE
Rice,Bihar,1.73,2.1,26264.05,76859.81,3.63,95338.5,18478.69,112519.86,8.41,12,9809.27,19.38,6.09,RISKY
Wheat,Uttar Pradesh,9.35,2.91,25965.16,91279.17,27.21,706512.0,615232.83,244615.85,10.48,9,28380.14,87.08,0.4,SAFE
Wheat,Bihar,7.72,2.15,21138.47,85102.4,16.6,350898.6,265796.2,232944.08,11.63,9,27153.03,75.75,0.88,SAFE
Wheat,Uttar Pradesh,5.98,2.95,25383.51,223964.91,17.64,447765.12,223800.21,189973.6,8.71,6,32471.47,49.98,0.85,SAFE
Wheat,Haryana,5.84,3.95,20744.87,119000.14,23.07,478584.15,359584.01,227313.89,10.05,9,26326.5,75.13,0.63,SAFE
Rice,Punjab,1.56,2.07,18485.2,194113.88,3.23,59707.2,-134406.68,48164.11,7.33,9,5516.34,-225.11,999.0,RISKY
Wheat,Bihar,5.42,2.16,19008.63,191210.02,11.71,222591.06,31381.04,197963.66,10.67,9,22985.41,14.1,6.31,RISKY
Wheat,Punjab,4.13,3.86,22379.52,204124.5,15.94,356729.55,152605.05,182436.89,10.03,12,16041.65,42.78,1.2,SAFE
Rice,Bihar,2.4,2.53,19323.6,133789.53,6.07,117294.25,-16495.28,253437.09,8.06,12,22053.13,-14.06,999.0,RISKY
Wheat,Uttar Pradesh,1.78,1.78,19403.76,227559.26,3.17,61509.92,-166049.34,294182.02,7.17,12,25477.67,-269.96,999.0,RISKY
Rice,Punjab,4.88,3.17,23010.75,129676.54,15.47,355976.3,226299.76,55592.41,7.46,9,6370.52,63.57,0.25,SAFE
Wheat,Bihar,3.4,2.18,21682.22,141738.87,7.41,160665.25,18926.38,102384.95,8.12,12,8911.99,11.78,5.41,RISKY
Rice,Bihar,1.75,2.12,23024.17,126345.45,3.71,85419.67,-40925.78,206801.73,7.43,6,35217.72,-47.91,999.0,RISKY
Wheat,Haryana,3.59,3.01,22248.89,112790.64,10.81,240510.5,127719.86,197459.48,9.36,9,22804.46,53.1,1.55,SAFE
Rice,Uttar Pradesh,7.37,3.2,29767.85,171578.21,23.58,701925.9,530347.69,137285.53,9.18,9,15843.34,75.56,0.26,SAFE
Wheat,Punjab,5.36,3.88,22952.06,226667.65,20.8,477402.85,250735.2,132854.5,11.13,9,15454.61,52.52,0.53,SAFE
Wheat,Uttar Pradesh,7.04,3.54,22190.06,119568.33,24.92,552976.3,433407.97,58279.15,8.33,12,5078.51,78.38,0.13,SAFE
Wheat,Uttar Pradesh,2.77,3.93,22324.03,166141.43,10.89,243108.69,76967.26,103001.85,7.75,9,11817.39,31.66,1.34,MODERATE
Rice,Punjab,5.05,2.86,19649.86,107121.9,14.44,283743.98,176622.08,217694.53,8.62,12,18999.37,62.25,1.23,SAFE
Wheat,Punjab,1.05,2.22,26092.93,228362.8,2.33,60796.53,-167566.27,190470.48,11.87,9,22223.83,-275.62,999.0,RISKY
Rice,Punjab,4.44,3.89,23346.36,213182.6,17.27,403191.64,190009.04,41457.32,10.23,9,4804.94,47.13,0.22,SAFE
Rice,Punjab,3.07,3.01,22620.05,158976.87,9.24,209009.26,50032.39,208171.27,8.14,6,35523.57,23.94,4.16,RISKY
Wheat,Bihar,4.24,2.19,25433.87,99649.15,9.29,236280.65,136631.5,112348.71,7.64,12,9754.35,57.83,0.82,SAFE
Wheat,Punjab,3.55,3.35,29718.4,218015.98,11.89,353351.78,135335.8,100979.62,9.7,12,8863.63,38.3,0.75,SAFE
Wheat,Madhya Pradesh,4.88,1.9,18449.64,177486.99,9.27,171028.16,-6458.83,237915.82,10.78,12,21002.99,-3.78,999.0,RISKY
Wheat,Madhya Pradesh,1.16,3.15,18245.7,81067.75,3.65,66596.81,-14470.94,179189.99,7.62,6,30532.25,-21.73,999.0,RISKY
Wheat,Madhya Pradesh,6.66,3.24,20962.88,122372.03,21.58,452378.95,330006.92,197113.73,8.23,6,33645.37,72.95,0.6,SAFE
Rice,Uttar Pradesh,6.19,3.73,20135.81,136458.04,23.09,464935.85,328477.81,64557.64,7.49,12,5600.56,70.65,0.2,SAFE
Wheat,Madhya Pradesh,3.96,3.9,18829.19,187540.25,15.44,290722.69,103182.44,172657.98,8.62,9,19879.83,35.49,1.67,MODERATE
Wheat,Haryana,1.19,2.33,21053.06,204435.56,2.77,58316.98,-146118.58,185537.35,10.86,12,16385.99,-250.56,999.0,RISKY
Rice,Madhya Pradesh,4.35,2.9,22312.79,114054.36,12.61,281364.28,167309.92,55761.15,9.56,9,6445.09,59.46,0.33,SAFE
Rice,Uttar Pradesh,5.2,3.64,24953.97,135398.91,18.93,472378.65,336979.74,122830.44,9.93,6,21068.72,71.34,0.36,SAFE
Rice,Haryana,2.76,3.3,26778.4,56827.75,9.11,243951.22,187123.47,198905.86,7.89,12,17292.39,76.71,1.06,SAFE
Rice,Uttar Pradesh,7.84,3.45,27746.4,148078.02,27.05,750540.12,602462.1,233191.58,8.32,9,26816.67,80.27,0.39,SAFE
Wheat,Bihar,8.67,1.65,21437.06,86979.14,14.31,306764.33,219785.19,62011.9,8.91,12,5420.44,71.65,0.28,SAFE
Wheat,Madhya Pradesh,5.9,2.59,23555.51,187981.35,15.28,359928.19,171946.84,201285.31,9.93,6,34525.84,47.77,1.17,SAFE
Wheat,Haryana,4.11,2.73,22503.32,150213.32,11.22,252487.25,102273.93,84394.59,7.02,6,14355.16,40.51,0.83,MODERATE
Wheat,Uttar Pradesh,1.22,1.76,21250.88,104084.81,2.15,45689.39,-58395.42,124320.21,10.32,6,21348.16,-127.81,999.0,RISKY
Wheat,Uttar Pradesh,3.28,3.31,23219.96,228391.75,10.86,252168.77,23777.02,34501.49,9.39,9,3985.04,9.43,1.45,RISKY
Rice,Haryana,6.11,2.77,18762.74,132754.58,16.92,317465.56,184710.98,77275.81,11.55,9,9004.69,58.18,0.42,SAFE
Wheat,Bihar,3.23,3.79,18149.49,180749.38,12.24,222149.76,41400.38,169450.89,11.3,6,29179.89,18.64,4.09,RISKY
Wheat,Haryana,8.52,1.85,25904.22,150766.91,15.76,408250.51,257483.6,73459.97,9.79,6,12595.29,63.07,0.29,SAFE
Wheat,Uttar Pradesh,1.6,1.65,27166.02,226452.12,2.64,71718.29,-154733.83,72097.84,7.69,6,12287.26,-215.75,999.0,RISKY
Rice,Uttar Pradesh,4.45,3.8,18766.74,214253.66,16.91,317345.57,103091.91,249883.64,10.5,6,42931.98,32.49,2.42,MODERATE
Rice,Punjab,9.34,2.14,21305.02,186318.23,19.99,425887.35,239569.12,97807.9,7.61,6,16665.04,56.25,0.41,SAFE
Rice,Haryana,7.77,2.74,19780.72,79896.06,21.29,421131.53,341235.47,218757.12,9.17,6,37440.85,81.03,0.64,SAFE
Rice,Haryana,9.33,1.94,23001.51,127265.75,18.1,416327.33,289061.58,106652.45,8.46,12,9300.23,69.43,0.37,SAFE
Rice,Haryana,1.05,3.79,28572.3,204555.34,3.98,113717.75,-90837.59,221272.46,7.21,12,19167.41,-79.88,999.0,RISKY
Rice,Punjab,6.94,2.84,29690.48,72951.68,19.71,585199.36,512247.68,161727.6,10.95,9,18799.53,87.53,0.32,SAFE
Rice,Bihar,5.17,1.82,19935.79,222589.04,9.41,187595.78,-34993.26,33993.64,7.32,6,5787.18,-18.65,999.0,RISKY
Rice,Haryana,3.22,1.9,23883.31,75661.96,6.12,146165.86,70503.9,83926.66,8.39,12,7315.79,48.24,1.19,MODERATE
Wheat,Haryana,6.82,2.22,20730.07,193633.7,15.14,313853.26,120219.56,32344.45,8.9,9,3728.41,38.3,0.27,SAFE
Wheat,Bihar,6.52,3.02,25988.59,117227.01,19.69,511715.34,394488.33,164077.69,7.88,6,27978.22,77.09,0.42,SAFE
Rice,Madhya Pradesh,9.25,2.14,27797.44,82456.04,19.8,550389.31,467933.27,200047.19,8.68,12,17464.75,85.02,0.43,SAFE
Rice,Uttar Pradesh,7.88,2.45,21279.2,93188.38,19.31,410901.35,317712.97,274058.4,11.79,6,47259.89,77.32,0.86,SAFE
Rice,Uttar Pradesh,9.31,2.43,21852.99,226104.38,22.62,494314.63,268210.25,233393.72,8.36,6,39852.93,54.26,0.87,SAFE
Wheat,Bihar,7.68,2.89,26763.49,128719.77,22.2,594149.48,465429.71,211801.96,11.39,6,36482.26,78.34,0.46,SAFE
Rice,Madhya Pradesh,3.89,1.88,27793.92,154868.52,7.31,203173.56,48305.04,157301.95,7.03,12,13613.0,23.78,3.26,RISKY
Rice,Bihar,5.35,2.79,19514.08,128808.18,14.93,291345.21,162537.03,75897.63,10.64,9,8811.34,55.79,0.47,SAFE
Rice,Madhya Pradesh,5.24,3.23,25831.27,139391.68,16.93,437323.4,297931.72,31150.32,10.06,12,2739.48,68.13,0.1,SAFE
Wheat,Uttar Pradesh,8.29,1.65,29453.59,175791.67,13.68,402925.11,227133.44,127936.35,7.45,6,21788.44,56.37,0.56,SAFE
Rice,Madhya Pradesh,4.72,1.85,18578.88,56647.02,8.73,162193.62,105546.6,245692.58,9.54,12,21547.75,65.07,2.33,MODERATE
Wheat,Punjab,3.18,3.72,22211.86,232664.18,11.83,262766.3,30102.12,162216.02,11.68,12,14388.42,11.46,5.39,RISKY
Wheat,Madhya Pradesh,9.06,2.89,22925.71,206250.56,26.18,600195.09,393944.53,193208.87,8.84,12,16882.07,65.64,0.49,SAFE
Wheat,Uttar Pradesh,8.29,2.74,29855.84,151757.12,22.71,678026.13,526269.01,266171.61,9.58,12,23348.75,77.62,0.51,SAFE
Wheat,Punjab,6.11,2.73,18788.09,237745.7,16.68,313385.34,75639.64,287839.9,7.29,6,48998.5,24.14,3.81,MODERATE
Rice,Bihar,8.67,3.78,21488.1,183740.35,32.77,704165.04,520424.69,139500.98,8.9,12,12193.1,73.91,0.27,SAFE
Rice,Haryana,4.22,3.24,23109.87,93999.0,13.67,315911.92,221912.92,138742.2,11.72,9,16178.36,70.25,0.63,SAFE
Rice,Punjab,7.63,3.24,24276.66,142013.55,24.72,600119.04,458105.49,173153.26,7.63,9,19856.07,76.34,0.38,SAFE
Rice,Punjab,8.25,3.72,22152.43,222316.92,30.69,679858.08,457541.16,108283.08,8.26,12,9432.4,67.3,0.24,SAFE
Wheat,Punjab,3.67,3.42,18958.14,50301.44,12.55,237924.66,187623.22,274546.65,10.66,12,24221.37,78.86,1.46,SAFE
Rice,Madhya Pradesh,8.98,3.72,23760.05,207282.27,33.41,793823.27,586541.0,87702.93,8.85,12,7663.65,73.89,0.15,SAFE
Rice,Madhya Pradesh,3.74,3.48,18436.27,130653.13,13.02,240040.24,109387.11,284598.01,7.06,12,24633.21,45.57,2.6,MODERATE
Rice,Uttar Pradesh,3.01,3.08,25174.35,229150.78,9.27,233366.22,4215.44,184900.58,7.31,12,16025.28,1.81,43.86,RISKY
Wheat,Bihar,4.8,2.77,29346.09,219707.02,13.3,390303.0,170595.98,174038.65,9.28,6,29796.59,43.71,1.02,SAFE
Rice,Uttar Pradesh,7.52,2.2,28862.89,87105.79,16.54,477392.2,390286.41,257154.59,11.18,6,44267.46,81.75,0.66,SAFE
Wheat,Uttar Pradesh,4.43,3.95,23475.83,170916.93,17.5,410827.03,239910.1,202091.4,11.28,9,23523.13,58.4,0.84,SAFE
Wheat,Bihar,1.21,3.71,18686.05,193870.08,4.49,83900.36,-109969.72,50185.2,9.57,6,8599.21,-131.07,999.0,RISKY
Wheat,Uttar Pradesh,3.11,3.0,28892.35,156978.03,9.33,269565.63,112587.6,189583.52,10.5,12,16711.52,41.77,1.68,MODERATE
Rice,Madhya Pradesh,6.71,2.16,21683.96,54314.54,14.49,314200.58,259886.04,45699.28,10.17,9,5295.29,82.71,0.18,SAFE
Wheat,Uttar Pradesh,5.41,2.67,22914.97,120066.62,14.44,330892.17,210825.55,268319.83,9.66,9,31026.13,63.71,1.27,SAFE
Wheat,Haryana,3.17,2.06,26608.69,156678.53,6.53,173754.75,17076.22,227035.79,8.07,6,38734.92,9.83,13.3,RISKY
Rice,Haryana,9.26,3.53,20122.04,212035.57,32.69,657789.49,445753.92,167992.65,8.63,9,19343.46,67.77,0.38,SAFE
Rice,Punjab,7.57,4.0,21683.68,78051.94,30.28,656581.83,578529.89,154038.8,9.77,9,17819.69,88.11,0.27,SAFE
Rice,Uttar Pradesh,1.74,2.94,26999.42,58635.43,5.12,138237.03,79601.6,108084.85,8.33,12,9418.63,57.58,1.36,MODERATE
Rice,Punjab,7.21,1.83,24707.89,131912.81,13.19,325897.07,193984.26,84531.31,8.05,12,7355.2,59.52,0.44,SAFE
Rice,Uttar Pradesh,3.18,3.38,20967.69,146704.13,10.75,225402.67,78698.54,293552.86,10.46,12,25870.81,34.91,3.73,MODERATE
Rice,Haryana,4.22,1.76,27627.23,247932.64,7.43,205270.32,-42662.32,81382.34,8.01,9,9346.95,-20.78,999.0,RISKY
Rice,Haryana,8.57,3.52,20097.45,149580.79,30.17,606340.07,456759.28,48758.0,10.61,9,5659.87,75.33,0.11,SAFE
Wheat,Bihar,5.6,1.56,26635.7,231872.42,8.74,232796.02,923.6,91190.56,11.27,6,15701.9,0.4,98.73,RISKY
Rice,Bihar,8.91,1.91,23915.45,184492.02,17.02,407040.96,222548.94,284689.76,9.94,9,32956.7,54.67,1.28,SAFE
Rice,Bihar,7.45,1.51,18375.3,238436.34,11.25,206722.12,-31714.22,38075.25,11.01,6,6551.21,-15.34,999.0,RISKY
Wheat,Punjab,5.61,2.14,29617.49,241123.87,12.01,355706.05,114582.18,97133.96,8.59,12,8476.05,32.21,0.85,MODERATE
Rice,Uttar Pradesh,1.33,2.46,24762.57,152358.55,3.27,80973.6,-71384.95,269116.58,9.28,6,46074.57,-88.16,999.0,RISKY
Rice,Haryana,2.47,3.92,27653.5,226926.46,9.68,267685.88,40759.42,33617.9,7.87,9,3858.88,15.23,0.82,RISKY
Wheat,Uttar Pradesh,3.78,3.0,21692.58,184020.67,11.34,245993.86,61973.19,30316.63,11.63,9,3533.85,25.19,0.49,MODERATE
Wheat,Madhya Pradesh,5.9,3.15,29692.41,192486.88,18.59,551981.9,359495.02,209024.96,9.2,9,24124.35,65.13,0.58,SAFE
Wheat,Uttar Pradesh,7.21,3.81,25127.22,220680.81,27.47,690244.73,469563.92,171823.08,11.79,12,15249.4,68.03,0.37,SAFE
Wheat,Madhya Pradesh,5.19,3.31,22480.12,233744.19,17.18,386208.46,152464.27,80560.68,7.15,12,6976.23,39.48,0.53,SAFE
Rice,Haryana,9.15,2.29,29549.86,116178.24,20.95,619069.57,502891.33,140915.35,10.72,9,16364.91,81.23,0.28,SAFE
Wheat,Uttar Pradesh,6.58,2.37,19319.46,60157.69,15.59,301190.38,241032.69,58194.77,7.49,6,9912.11,80.03,0.24,SAFE
Rice,Haryana,6.92,2.2,25772.67,102002.05,15.22,392260.04,290257.99,205143.54,9.39,12,17977.23,74.0,0.71,SAFE
Rice,Haryana,7.0,1.69,22851.43,178874.18,11.83,270332.42,91458.24,216299.16,11.36,12,19153.22,33.83,2.37,MODERATE
Rice,Bihar,7.16,3.92,25455.42,191519.28,28.07,714533.64,523014.36,144332.14,8.35,12,12578.6,73.2,0.28,SAFE
Rice,Haryana,9.86,2.7,25760.62,113883.55,26.62,685747.7,571864.15,288863.77,11.53,6,49775.9,83.39,0.51,SAFE
Rice,Uttar Pradesh,1.56,2.22,24715.68,220345.78,3.46,85516.25,-134829.53,201978.94,9.82,12,17740.25,-157.67,999.0,RISKY
Wheat,Punjab,5.14,3.87,22617.83,149935.76,19.89,449868.64,299932.88,106284.05,9.65,9,12289.24,66.67,0.35,SAFE
Wheat,Madhya Pradesh,8.59,2.02,22958.3,171596.06,17.35,398326.51,226730.45,203134.23,9.95,6,34844.99,56.92,0.9,SAFE
Wheat,Uttar Pradesh,1.1,2.92,24932.07,123492.66,3.21,80031.94,-43460.72,205549.59,10.09,9,23809.75,-54.3,999.0,RISKY
Wheat,Bihar,4.01,2.7,25151.18,187987.81,10.83,272387.28,84399.47,262147.9,9.18,9,30252.99,30.99,3.11,MODERATE
Wheat,Uttar Pradesh,7.08,1.86,21780.08,69381.61,13.17,286843.65,217462.04,274013.51,11.38,12,24266.36,75.81,1.26,SAFE
Wheat,Punjab,9.46,2.77,26946.1,174539.85,26.2,705987.82,531447.97,135323.73,7.79,12,11758.46,75.28,0.25,SAFE
Rice,Madhya Pradesh,5.32,3.96,19056.53,221129.68,21.07,401521.09,180391.41,150419.37,11.87,6,25944.95,44.93,0.83,SAFE
Wheat,Bihar,2.93,3.57,23020.47,219663.72,10.46,240794.12,21130.4,80476.5,7.36,6,13702.14,8.78,3.81,RISKY
Wheat,Haryana,4.43,1.66,19951.87,96971.87,7.35,146646.24,49674.37,121508.77,9.76,12,10668.99,33.87,2.45,RISKY
Wheat,Haryana,3.21,2.16,18345.5,223851.91,6.93,127134.31,-96717.6,265539.33,8.85,9,30603.0,-76.08,999.0,RISKY
Wheat,Bihar,6.69,2.33,24747.85,75139.58,15.59,385818.98,310679.4,282385.99,11.58,9,32909.51,80.52,0.91,SAFE
Wheat,Bihar,3.74,1.6,29808.18,158038.86,5.98,178252.92,20214.06,182056.04,11.28,12,16114.2,11.34,9.01,RISKY
Rice,Bihar,7.5,3.69,25497.75,51636.96,27.68,705777.72,654140.76,220502.96,11.62,12,19552.24,92.68,0.34,SAFE
Wheat,Haryana,2.74,2.79,23917.83,195866.61,7.64,182732.22,-13134.39,212184.6,7.09,9,24278.01,-7.19,999.0,RISKY
Wheat,Uttar Pradesh,9.16,1.86,24279.63,55036.85,17.04,413724.9,358688.05,102764.09,10.03,9,11900.71,86.7,0.29,SAFE
Wheat,Punjab,7.37,3.35,23004.06,199837.31,24.69,567970.24,368132.93,299409.44,7.21,12,25935.92,64.82,0.81,SAFE
Wheat,Uttar Pradesh,9.94,3.37,26355.31,69463.18,33.5,882902.89,813439.71,134035.84,8.23,6,22878.6,92.13,0.16,SAFE
Rice,Bihar,1.71,3.59,26611.34,178078.89,6.14,163393.63,-14685.26,66012.46,7.73,6,11251.45,-8.99,999.0,RISKY
Wheat,Uttar Pradesh,9.28,2.84,26336.44,134168.58,26.36,694228.56,560059.98,282601.26,8.38,6,48258.09,80.67,0.5,SAFE
Wheat,Bihar,2.53,2.2,19227.28,202663.49,5.57,107095.95,-95567.54,299338.28,9.89,12,26301.28,-89.24,999.0,RISKY
Rice,Uttar Pradesh,7.9,3.82,18628.35,110928.64,30.18,562203.6,451274.96,87940.26,7.09,9,10062.06,80.27,0.19,SAFE
Rice,Uttar Pradesh,5.49,2.7,23743.35,239912.77,14.82,351876.45,111963.68,170076.73,8.18,6,29026.24,31.82,1.52,MODERATE
Wheat,Haryana,8.45,3.41,27570.0,191299.84,28.81,794291.7,602991.86,132096.32,8.92,9,15228.26,75.92,0.22,SAFE
Rice,Uttar Pradesh,4.13,2.16,28563.7,218692.98,8.92,254788.2,36095.22,130626.19,8.79,12,11410.74,14.17,3.62,RISKY
Wheat,Madhya Pradesh,6.3,3.67,19927.68,220922.57,23.12,460727.96,239805.39,81118.02,11.21,9,9439.32,52.05,0.34,SAFE
Rice,Punjab,7.97,3.32,26778.91,89100.29,26.46,708569.96,619469.67,48440.23,9.87,12,4255.74,87.43,0.08,SAFE
Wheat,Madhya Pradesh,8.61,2.78,29471.82,215764.49,23.94,705555.37,489790.88,74841.22,9.25,6,12812.22,69.42,0.15,SAFE
Wheat,Madhya Pradesh,2.92,2.88,20958.08,62937.5,8.41,176257.45,113319.95,119699.06,7.78,12,10400.26,64.29,1.06,MODERATE
Rice,Punjab,9.62,3.8,20799.51,191359.77,36.56,760430.09,569070.32,141440.69,7.68,9,16222.81,74.84,0.25,SAFE
Wheat,Haryana,7.13,2.83,20770.32,146471.68,20.18,419145.06,272673.38,182811.28,10.25,9,21189.71,65.05,0.67,SAFE
Wheat,Madhya Pradesh,2.7,3.23,26026.83,57842.87,8.72,226953.96,169111.09,121665.0,10.66,9,14125.85,74.51,0.72,SAFE
Wheat,Uttar Pradesh,8.66,3.3,25649.55,181482.63,28.58,733064.14,551581.51,85589.72,11.28,6,14737.93,75.24,0.16,SAFE
